zip,city,county,pop
37013,Antioch,Davidson,99109
37042,Clarksville,Montgomery,80661
37211,Nashville,Davidson,75199
37075,Hendersonville,Sumner,68336
38401,Columbia,Maury,64822
37167,Smyrna,Rutherford,61176
37122,Mount Juliet,Wilson,61002
37129,Murfreesboro,Rutherford,60516
37064,Franklin,Williamson,60272
37128,Murfreesboro,Rutherford,60038
37027,Brentwood,Williamson,57096
37130,Murfreesboro,Rutherford,57068
38017,Collierville,Shelby,55884
37066,Gallatin,Sumner,54377
37421,Chattanooga,Hamilton,53050
37040,Clarksville,Montgomery,52736
38305,Jackson,Madison,52092
37043,Clarksville,Montgomery,49669
37044,Clarksville,Montgomery,49669
37087,Lebanon,Wilson,48478
38128,Memphis,Shelby,46158
38016,Cordova,Shelby,45424
38134,Memphis,Shelby,45184
37918,Knoxville,Knox,45107
38109,Memphis,Shelby,44846
38127,Memphis,Shelby,43240
38111,Memphis,Shelby,42146
37343,Hixson,Hamilton,42120
38116,Memphis,Shelby,42057
37221,Nashville,Davidson,41736
37363,Ooltewah,Hamilton,41503
37920,Knoxville,Knox,40678
38118,Memphis,Shelby,40156
38002,Arlington,Shelby,40070
37660,Kingsport,Sullivan,39638
37115,Madison,Davidson,39573
38125,Memphis,Shelby,39315
37207,Nashville,Davidson,39151
38501,Cookeville,Putnam,39013
38115,Memphis,Shelby,38817
37174,Spring Hill,Maury,38793
37076,Hermitage,Davidson,38647
37209,Nashville,Davidson,37852
37620,Bristol,Sullivan,37760
37922,Knoxville,Knox,37709
38018,Cordova,Shelby,37269
37604,Johnson City,Washington,36203
37601,Johnson City,Washington,35963
37312,Cleveland,Bradley,35877
38301,Jackson,Madison,34534
37086,La Vergne,Rutherford,34362
37814,Morristown,Hamblen,34359
37160,Shelbyville,Bedford,33606
37643,Elizabethton,Carter,33413
37110,Mcminnville,Warren,32731
37876,Sevierville,Sevier,32142
37803,Maryville,Blount,32016
37067,Franklin,Williamson,31681
37923,Knoxville,Knox,31548
37323,Cleveland,Bradley,31202
37072,Goodlettsville,Davidson,31134
37217,Nashville,Davidson,30947
37172,Springfield,Robertson,30261
37214,Nashville,Davidson,30217
38135,Memphis,Shelby,29719
37919,Knoxville,Knox,29637
37830,Oak Ridge,Anderson,29569
37311,Cleveland,Bradley,29139
38506,Cookeville,Putnam,28818
37931,Knoxville,Knox,28440
37379,Soddy Daisy,Hamilton,28115
37849,Powell,Knox,28109
37664,Kingsport,Sullivan,28040
37659,Jonesborough,Washington,27813
37716,Clinton,Anderson,27768
37921,Knoxville,Knox,27522
37055,Dickson,Dickson,27410
37355,Manchester,Coffee,27203
38117,Memphis,Shelby,27162
37934,Farragut,Knox,27152
37801,Maryville,Blount,27102
37206,Nashville,Davidson,27055
37804,Maryville,Blount,27040
38024,Dyersburg,Dyer,26627
38053,Millington,Shelby,25816
37388,Tullahoma,Coffee,25462
37303,Athens,Mcminn,25062
37917,Knoxville,Knox,25048
38583,Sparta,White,24906
38119,Memphis,Shelby,24818
37743,Greeneville,Greene,24791
37148,Portland,Sumner,24747
37865,Seymour,Sevier,24638
38106,Memphis,Shelby,24256
38138,Germantown,Shelby,24143
38122,Memphis,Shelby,23955
38114,Memphis,Shelby,23940
38104,Memphis,Shelby,23812
37138,Old Hickory,Davidson,23789
37415,Chattanooga,Hamilton,23693
37205,Nashville,Davidson,23680
38141,Memphis,Shelby,23443
37334,Fayetteville,Lincoln,23398
37091,Lewisburg,Marshall,23052
37215,Nashville,Davidson,23044
37862,Sevierville,Sevier,22731
38464,Lawrenceburg,Lawrence,22412
38133,Memphis,Shelby,22155
37912,Knoxville,Knox,22154
37615,Johnson City,Washington,22064
37821,Newport,Cocke,21657
37412,Chattanooga,Hamilton,21220
37212,Nashville,Davidson,20672
37857,Rogersville,Hawkins,20429
38555,Crossville,Cumberland,20371
38242,Paris,Henry,20274
37321,Dayton,Rhea,20191
37069,Franklin,Williamson,20093
37914,Knoxville,Knox,19912
37127,Murfreesboro,Rutherford,19817
37932,Knoxville,Knox,19206
37725,Dandridge,Jefferson,18514
37208,Nashville,Davidson,18375
37774,Loudon,Loudon,18340
37745,Greeneville,Greene,18233
37405,Chattanooga,Hamilton,18231
37216,Nashville,Davidson,18081
38351,Lexington,Henderson,18050
37813,Morristown,Hamblen,17946
37015,Ashland City,Cheatham,17835
37771,Lenoir City,Loudon,17730
38478,Pulaski,Giles,17618
37135,Nolensville,Williamson,17318
38108,Memphis,Shelby,17258
37938,Knoxville,Knox,17230
38372,Savannah,Hardin,17192
37766,La Follette,Campbell,17169
37354,Madisonville,Monroe,17029
37210,Nashville,Davidson,16810
37411,Chattanooga,Hamilton,16801
37203,Nashville,Davidson,16772
37748,Harriman,Roane,16745
37909,Knoxville,Knox,16321
38063,Ripley,Lauderdale,16154
38019,Covington,Tipton,16137
38112,Memphis,Shelby,16046
37188,White House,Robertson,16034
38139,Germantown,Shelby,15986
37763,Kingston,Roane,15959
37204,Nashville,Davidson,15908
37179,Thompsons Station,Williamson,15860
37874,Sweetwater,Monroe,15765
37218,Nashville,Davidson,15582
38261,Union City,Obion,15511
37377,Signal Mountain,Hamilton,15496
38120,Memphis,Shelby,15485
38107,Memphis,Shelby,15477
38343,Humboldt,Gibson,15438
37416,Chattanooga,Hamilton,15307
38237,Martin,Weakley,15281
37090,Lebanon,Wilson,15143
37398,Winchester,Franklin,15020
37083,Lafayette,Macon,14847
38103,Memphis,Shelby,14713
37642,Church Hill,Hawkins,14658
37617,Blountville,Sullivan,14596
37073,Greenbrier,Robertson,14569
37166,Smithville,Dekalb,14310
37406,Chattanooga,Hamilton,14259
38571,Crossville,Cumberland,14180
37721,Corryton,Knox,14024
37916,Knoxville,Knox,13711
37663,Kingsport,Sullivan,13672
37618,Bluff City,Sullivan,13592
37760,Jefferson City,Jefferson,13550
37683,Mountain City,Johnson,13496
37772,Lenoir City,Loudon,13106
37062,Fairview,Williamson,12971
37650,Erwin,Unicoi,12960
37777,Louisville,Blount,12763
37854,Rockwood,Roane,12690
38012,Brownsville,Haywood,12658
38340,Henderson,Chester,12379
37924,Knoxville,Knox,12312
37404,Chattanooga,Hamilton,12168
37367,Pikeville,Bledsoe,12045
37341,Harrison,Hamilton,12010
38358,Milan,Gibson,11619
38556,Jamestown,Fentress,11592
37327,Dunlap,Sequatchie,11569
37879,Tazewell,Claiborne,11501
37807,Maynardville,Union,11397
37407,Chattanooga,Hamilton,11126
38572,Crossville,Cumberland,11123
38004,Atoka,Tipton,11094
38068,Somerville,Fayette,10850
38201,Mc Kenzie,Carroll,10755
37186,Westmoreland,Sumner,10597
38320,Camden,Benton,10593
37764,Kodak,Sevier,10448
38060,Oakland,Fayette,10403
38462,Hohenwald,Lewis,10204
37397,Whitwell,Sequatchie,10101
37757,Jacksboro,Campbell,10096
37840,Oliver Springs,Roane,10092
38058,Munford,Tipton,9981
37074,Hartsville,Trousdale,9967
37841,Oneida,Scott,9966
38570,Livingston,Overton,9802
37381,Spring City,Rhea,9574
38558,Crossville,Cumberland,9572
37641,Chuckey,Greene,9491
38011,Brighton,Tipton,9429
37385,Tellico Plains,Monroe,9292
38574,Monterey,Putnam,9093
37861,Rutledge,Grainger,8980
37877,Talbott,Hamblen,8893
38008,Bolivar,Hardeman,8726
37190,Woodbury,Cannon,8611
37037,Christiana,Rutherford,8570
38382,Trenton,Gibson,8559
37871,Strawberry Plains,Jefferson,8524
38474,Mount Pleasant,Maury,8518
37686,Piney Flats,Sullivan,8470
37185,Waverly,Humphreys,8381
37825,New Tazewell,Claiborne,8291
37322,Decatur,Meigs,8270
37347,Jasper,Marion,8135
38375,Selmer,Mcnairy,8088
38059,Newbern,Dyer,7928
38344,Huntingdon,Carroll,7868
37058,Dover,Stewart,7817
37187,White Bluff,Dickson,7745
37820,New Market,Jefferson,7715
37030,Carthage,Smith,7674
37887,Wartburg,Morgan,7651
37033,Centerville,Hickman,7604
37034,Chapel Hill,Marshall,7576
37080,Joelton,Davidson,7537
37701,Alcoa,Blount,7509
37403,Chattanooga,Hamilton,7484
38028,Eads,Shelby,7478
38544,Baxter,Putnam,7450
37146,Pleasant View,Cheatham,7396
37890,White Pine,Jefferson,7208
37029,Burns,Dickson,7166
38355,Medina,Gibson,7041
37101,Mc Ewen,Humphreys,7032
37863,Pigeon Forge,Sevier,6932
37184,Watertown,Wilson,6884
37331,Etowah,Mcminn,6849
37722,Cosby,Cocke,6759
38075,Whiteville,Hardeman,6744
37022,Bethpage,Sumner,6694
38023,Drummonds,Tipton,6683
37330,Estill Springs,Franklin,6639
37419,Chattanooga,Hamilton,6557
38562,Gainesboro,Jackson,6552
37380,South Pittsburg,Marion,6505
37752,Harrogate,Claiborne,6460
37681,Limestone,Washington,6446
37036,Charlotte,Dickson,6437
38485,Waynesboro,Wayne,6384
37742,Greenback,Loudon,6362
37048,Cottontown,Sumner,6229
38310,Adamsville,Mcnairy,6135
37153,Rockvale,Rutherford,6132
37708,Bean Station,Grainger,6078
37737,Friendsville,Blount,6058
37020,Bell Buckle,Bedford,6036
37096,Linden,Perry,5947
38483,Summertown,Lawrence,5933
37025,Bon Aqua,Hickman,5923
37098,Lyles,Hickman,5904
37220,Nashville,Davidson,5894
37329,Englewood,Mcminn,5877
37885,Vonore,Monroe,5854
38126,Memphis,Shelby,5844
37769,Rocky Top,Anderson,5839
38468,Leoma,Lawrence,5738
37082,Kingston Springs,Cheatham,5734
37046,College Grove,Williamson,5669
38105,Memphis,Shelby,5638
37357,Morrison,Warren,5633
37324,Decherd,Franklin,5551
38006,Bells,Crockett,5530
37711,Bulls Gap,Hawkins,5496
38225,Dresden,Weakley,5398
37738,Gatlinburg,Sevier,5343
37818,Mosheim,Greene,5328
38363,Parsons,Decatur,5326
37032,Cedar Hill,Robertson,5227
37085,Lascassas,Rutherford,5220
37665,Kingsport,Sullivan,5202
37061,Erin,Houston,5179
37302,Apison,Hamilton,5139
37616,Afton,Greene,5101
37010,Adams,Robertson,5096
37645,Mount Carmel,Hawkins,5080
37915,Knoxville,Knox,5055
37150,Red Boiling Springs,Macon,5031
38079,Tiptonville,Lake,5023
38456,Ethridge,Lawrence,4997
37370,Riceville,Mcminn,4965
37826,Niota,Mcminn,4930
37353,Mc Donald,Bradley,4921
37307,Benton,Polk,4806
37692,Unicoi,Unicoi,4780
38041,Henning,Lauderdale,4752
37336,Georgetown,Meigs,4726
37869,Sneedville,Hancock,4624
37690,Telford,Washington,4599
37886,Walland,Blount,4594
38040,Halls,Lauderdale,4574
37191,Woodlawn,Montgomery,4545
37714,Caryville,Campbell,4485
38585,Spencer,Van Buren,4461
37180,Unionville,Bedford,4454
37189,Whites Creek,Davidson,4453
37687,Roan Mountain,Carter,4428
37705,Andersonville,Anderson,4388
37873,Surgoinsville,Hawkins,4362
38001,Alamo,Crockett,4350
38330,Dyer,Gibson,4338
38257,NA,NA,4310
38469,Loretto,Lawrence,4291
37342,Hillsboro,Coffee,4286
37870,Speedwell,Claiborne,4278
38049,Mason,Tipton,4271
37843,Parrottsville,Cocke,4245
38551,Celina,Clay,4213
37031,Castalian Springs,Sumner,4149
38451,Culleoka,Maury,4107
37402,Chattanooga,Hamilton,4100
38315,Bethel Springs,Mcnairy,4044
38549,Byrdstown,Pickett,4040
37049,Cross Plains,Robertson,4035
37658,Hampton,Carter,4027
37375,Sewanee,Franklin,4026
38052,Middleton,Hardeman,4023
37846,Philadelphia,Loudon,4002
37754,Heiskell,Knox,3951
37811,Mooresburg,Hawkins,3926
37143,Pegram,Cheatham,3905
37709,Blaine,Grainger,3876
38581,Rock Island,Warren,3850
38425,Clifton,Wayne,3803
37310,Charleston,Bradley,3786
37880,Ten Mile,Meigs,3772
37035,Chapmansboro,Cheatham,3709
37410,Chattanooga,Hamilton,3709
38230,Greenfield,Weakley,3704
38260,Troy,Obion,3652
37891,Whitesburg,Hamblen,3628
37860,Russellville,Hamblen,3613
37779,Luttrell,Union,3598
38057,Moscow,Fayette,3595
38313,Beech Bluff,Madison,3533
37640,Butler,Johnson,3494
37853,Rockford,Blount,3474
37352,Lynchburg,Moore,3440
37656,Fall Branch,Washington,3423
37888,Washburn,Grainger,3406
37409,Chattanooga,Hamilton,3399
37387,Tracy City,Grundy,3358
38256,Springville,Henry,3316
38221,Big Sandy,Benton,3289
37183,Wartrace,Bedford,3270
38329,Decaturville,Decatur,3255
37051,Cumberland Furnace,Dickson,3237
38251,Puryear,Henry,3225
37362,Old Fort,Polk,3178
37847,Pioneer,Campbell,3172
37095,Liberty,Dekalb,3142
38450,Collinwood,Wayne,3130
38229,Gleason,Weakley,3121
37134,New Johnsonville,Humphreys,3109
37373,Sale Creek,Hamilton,3107
37144,Petersburg,Lincoln,3088
37882,Townsend,Blount,3036
38316,Bradford,Gibson,3031
38563,Gordonsville,Smith,2989
37338,Graysville,Rhea,2983
37756,Huntsville,Scott,2973
38034,Friendship,Crockett,2968
37852,Robbins,Scott,2941
37317,Copperhill,Polk,2936
37806,Mascot,Knox,2925
37079,Indian Mound,Stewart,2915
38477,Prospect,Giles,2914
38233,Kenton,Gibson,2880
37014,Arrington,Williamson,2858
37770,Lancing,Morgan,2835
38553,Clarkrange,Fentress,2827
38357,Michie,Mcnairy,2813
37060,Eagleville,Rutherford,2807
38326,Counce,Hardin,2804
38066,Rossville,Fayette,2786
38356,Medon,Madison,2736
38367,Ramer,Mcnairy,2730
37345,Huntland,Franklin,2715
38449,Ardmore,Giles,2713
38472,Lynnville,Giles,2708
37356,Monteagle,Grundy,2680
37137,Nunnelly,Hickman,2679
37755,Helenwood,Scott,2652
37308,Birchwood,Hamilton,2644
37762,Jellico,Campbell,2630
37335,Flintville,Lincoln,2626
37809,NA,NA,2584
38317,Bruceton,Carroll,2556
37149,Readyville,Cannon,2500
37332,Evensville,Rhea,2497
37018,Beechgrove,Coffee,2494
38255,Sharon,Weakley,2478
37902,Knoxville,Knox,2463
37052,Cunningham,Montgomery,2458
37727,Del Rio,Cocke,2450
38080,Ridgely,Lake,2441
37132,Murfreesboro,Rutherford,2414
37724,Cumberland Gap,Claiborne,2378
38374,Scotts Hill,Decatur,2373
38321,Cedar Grove,Carroll,2330
37145,Pleasant Shade,Smith,2323
37047,Cornersville,Marshall,2315
38341,Holladay,Benton,2302
37309,Calhoun,Mcminn,2280
37694,Watauga,Carter,2264
38015,Burlison,Tipton,2249
38240,Obion,Obion,2236
38488,Taft,Lincoln,2228
38463,Iron City,Lawrence,2205
38232,Hornbeak,Obion,2173
38368,Reagan,Henderson,2154
38069,Stanton,Haywood,2146
37026,Bradyville,Cannon,2117
37339,Gruetli Laager,Grundy,2110
38222,Buchanan,Henry,2109
38334,Finger,Mcnairy,2052
37360,Normandy,Bedford,2042
37892,Winfield,Scott,2034
37408,Chattanooga,Hamilton,2033
38505,Cookeville,Putnam,2028
37306,Belvidere,Franklin,2027
37881,Thorn Hill,Grainger,2023
37350,Lookout Mountain,Hamilton,2013
37097,Lobelville,Perry,2005
38547,Brush Creek,Smith,1992
37810,Mohawk,Greene,1981
38388,Wildersville,Henderson,1956
37012,Alexandria,Dekalb,1954
37729,Duff,Campbell,1937
37614,NA,NA,1909
37374,Sequatchie,Marion,1886
38039,Grand Junction,Hardeman,1882
38366,Pinson,Madison,1877
38573,Monroe,Overton,1872
37178,Tennessee Ridge,Houston,1842
38541,Allons,Overton,1810
38568,Hilham,Overton,1807
37726,Deer Lodge,Morgan,1792
37361,Ocoee,Polk,1763
37142,Palmyra,Montgomery,1747
37201,Nashville,Davidson,1745
38582,Silver Point,Putnam,1733
37829,Oakdale,Morgan,1731
38580,Rickman,Overton,1731
38345,Huron,Henderson,1723
37318,Cowan,Franklin,1720
38460,Goodspring,Giles,1713
37050,Cumberland City,Stewart,1712
37872,Sunbright,Morgan,1710
38482,Santa Fe,Maury,1701
38577,Pall Mall,Fentress,1661
37181,Vanleer,Dickson,1652
37325,Delano,Polk,1646
37315,NA,NA,1640
38545,Bloomington Springs,Putnam,1625
37140,Only,Hickman,1613
38231,Henry,Henry,1610
38220,Atwood,Carroll,1565
37313,Coalmont,Grundy,1558
38037,Gates,Lauderdale,1558
38337,Gadsden,Crockett,1556
37228,Nashville,Davidson,1528
37866,Sharps Chapel,Union,1508
38560,Elmwood,Smith,1491
37141,Orlinda,Robertson,1476
37391,Turtletown,Polk,1474
38369,Rutherford,Gibson,1466
38379,Stantonville,Mcnairy,1459
37828,NA,NA,1457
38258,Trezevant,Carroll,1430
38381,Toone,Hardeman,1416
37023,Big Rock,Stewart,1408
37328,Elora,Lincoln,1408
38342,Hollow Rock,Carroll,1387
37713,Bybee,Cocke,1364
38476,NA,NA,1352
37059,Dowelltown,Dekalb,1336
37337,NA,NA,1330
38559,Doyle,White,1302
38579,NA,NA,1286
37365,Palmer,Grundy,1263
38461,Hampshire,Maury,1240
38067,Saulsbury,Hardeman,1230
38332,Enville,Chester,1203
38390,Yuma,Carroll,1195
38061,Pocahontas,Hardeman,1185
38253,Rives,Obion,1180
38362,Oakfield,Madison,1167
37710,Briceville,Anderson,1161
37305,Beersheba Springs,Grundy,1157
38076,Williston,Fayette,1154
38548,Buffalo Valley,Putnam,1149
38454,Duck River,Hickman,1128
38241,Palmersville,Weakley,1099
38575,Moss,Clay,1097
38391,Denmark,Madison,1088
38473,Minor Hill,Giles,1074
38481,Saint Joseph,Lawrence,1062
37118,Milton,Rutherford,1052
37219,Nashville,Davidson,1043
37723,Crab Orchard,Cumberland,1038
38587,Walling,White,1037
37359,Mulberry,Lincoln,1033
38565,Grimsley,Fentress,1023
37688,Shady Valley,Johnson,1012
38361,Morris Chapel,Hardin,1001
38486,Westpoint,Lawrence,1000
37366,Pelham,Grundy,991
38487,Williamsport,Maury,978
37301,Altamont,Grundy,959
37016,Auburntown,Cannon,955
37657,Flag Pond,Unicoi,955
38371,Sardis,Henderson,951
38452,Cypress Inn,Wayne,945
38588,Whitleyville,Jackson,922
38328,NA,NA,913
38311,Bath Springs,Decatur,907
38348,Lavinia,Carroll,887
37171,NA,NA,874
38152,Memphis,Shelby,870
38554,Crawford,Overton,842
37715,Clairfield,Claiborne,838
37753,Hartford,Cocke,833
38259,Trimble,Dyer,815
38475,Olivehill,Hardin,805
38224,Cottage Grove,Henry,791
37348,Kelso,Lincoln,785
38457,Five Points,Lawrence,780
38370,Saltillo,Hardin,772
37240,Nashville,Davidson,759
37175,Stewart,Houston,738
38050,NA,NA,733
38567,Hickman,Smith,723
38392,Mercer,Madison,709
37369,NA,NA,693
37019,Belfast,Marshall,676
38339,Guys,Mcnairy,674
38042,Hickory Valley,Hardeman,672
38504,Allardt,Fentress,670
37819,NA,NA,665
37057,Dixon Springs,Smith,660
38044,Hornsby,Hardeman,638
38036,NA,NA,612
37151,Riddleton,Smith,609
37765,NA,NA,601
37691,Trade,Johnson,583
37682,NA,NA,577
38352,Luray,Chester,562
37326,NA,NA,547
38236,Mansfield,Henry,512
38235,NA,NA,511
38380,Sugar Tree,Decatur,505
37680,NA,NA,485
37340,Guild,Marion,480
37845,NA,NA,479
38564,Granville,Jackson,477
37333,Farner,Polk,474
38030,Finley,Dyer,444
37376,Sherwood,Franklin,439
37028,Bumpus Mills,Stewart,434
37731,Eidson,Hawkins,433
38327,Crump,Hardin,427
38471,Lutts,Wayne,403
38318,Buena Vista,Carroll,398
38453,NA,NA,373
37878,NA,NA,350
37078,Hurricane Mills,Humphreys,341
38543,Alpine,Overton,339
37719,NA,NA,330
37351,NA,NA,318
38359,Milledgeville,Mcnairy,298
38459,Frankewing,Lincoln,296
38054,NA,NA,289
38226,Dukedom,Weakley,288
38552,Chestnut Mound,Smith,253
38589,Wilder,Overton,241
37396,Whiteside,Marion,221
38387,Westport,Carroll,209
38569,NA,NA,197
38047,Lenox,Dyer,194
38455,NA,NA,193
38578,NA,NA,174
38333,Eva,Benton,162
38347,Jacks Creek,Chester,157
38376,Shiloh,Hardin,133
37394,NA,NA,120
37848,NA,NA,103
38070,NA,NA,94
37732,NA,NA,70
38254,NA,NA,70
38007,NA,NA,69
38046,NA,NA,60
37213,Nashville,Davidson,40
38077,NA,NA,38
37733,NA,NA,37
37165,NA,NA,31
37730,NA,NA,28
38021,NA,NA,27
38029,NA,NA,27
37851,NA,NA,24
38542,NA,NA,16
37089,La Vergne,Rutherford,NA
37131,Murfreesboro,Rutherford,NA
37161,Shelbyville,Bedford,NA
37232,Nashville,Davidson,NA
37234,Nashville,Davidson,NA
37235,Nashville,Davidson,NA
37236,Nashville,Davidson,NA
37238,Nashville,Davidson,NA
37241,Nashville,Davidson,NA
37242,Nashville,Davidson,NA
37243,Nashville,Davidson,NA
37246,Nashville,Davidson,NA
37250,Nashville,Davidson,NA
37304,Bakewell,Hamilton,NA
37383,Sewanee,Franklin,NA
37389,Arnold Afb,Coffee,NA
37450,Chattanooga,Hamilton,NA
37501,Memphis,Shelby,NA
37544,Memphis,Shelby,NA
37669,Kingsport,Sullivan,NA
37699,Piney Flats,Sullivan,NA
37929,Knoxville,Knox,NA
37995,Knoxville,Knox,NA
37996,Knoxville,Knox,NA
37997,Knoxville,Knox,NA
37998,Knoxville,Knox,NA
38055,Millington,Shelby,NA
38131,Memphis,Shelby,NA
38132,Memphis,Shelby,NA
38136,Memphis,Shelby,NA
38137,Memphis,Shelby,NA
38145,Memphis,Shelby,NA
38148,Memphis,Shelby,NA
38150,Memphis,Shelby,NA
38151,Memphis,Shelby,NA
38157,Memphis,Shelby,NA
38159,Memphis,Shelby,NA
38161,Memphis,Shelby,NA
38163,Memphis,Shelby,NA
38166,Memphis,Shelby,NA
38188,Memphis,Shelby,NA
38193,Memphis,Shelby,NA
38194,Memphis,Shelby,NA
38197,Memphis,Shelby,NA
38238,Martin,Weakley,NA
